size,k,model,layers,neurons,dropout,test_mape
20,5,FCNNLarge,6,5,0.0,1.6556204557418823
20,5,FCNNLarge,6,5,0.01,1.646135687828064
20,5,FCNNLarge,6,5,0.1,5.3861260414123535
20,5,FCNNLarge,6,25,0.0,1.5626600980758667
20,5,FCNNLarge,6,25,0.01,1.573979377746582
20,5,FCNNLarge,6,25,0.1,6.470340251922607
20,5,FCNNLarge,6,100,0.0,1.5617947578430176
20,5,FCNNLarge,6,100,0.01,1.563206434249878
20,5,FCNNLarge,6,100,0.1,4.162038803100586
20,5,PCNNLarge,3,5,0.0,2.2939937114715576
20,5,PCNNLarge,3,5,0.01,1.962963581085205
20,5,PCNNLarge,3,5,0.1,2.2555835247039795
20,5,PCNNLarge,3,25,0.0,1.6247566938400269
20,5,PCNNLarge,3,25,0.01,1.6418681144714355
20,5,PCNNLarge,3,25,0.1,1.8447712659835815
20,5,PCNNLarge,3,100,0.0,1.6360690593719482
20,5,PCNNLarge,3,100,0.01,1.63346529006958
20,5,PCNNLarge,3,100,0.1,1.6593725681304932
20,5,PCNNLarge,4,5,0.0,2.106924533843994
20,5,PCNNLarge,4,5,0.01,1.7297840118408203
20,5,PCNNLarge,4,5,0.1,2.5747873783111572
20,5,PCNNLarge,4,25,0.0,1.613053321838379
20,5,PCNNLarge,4,25,0.01,1.5888948440551758
20,5,PCNNLarge,4,25,0.1,1.8425898551940918
20,5,PCNNLarge,4,100,0.0,1.6128859519958496
20,5,PCNNLarge,4,100,0.01,1.6098895072937012
20,5,PCNNLarge,4,100,0.1,1.7010434865951538
20,5,PCNNLarge,5,5,0.0,1.6329569816589355
20,5,PCNNLarge,5,5,0.01,1.6904582977294922
20,5,PCNNLarge,5,5,0.1,4.20392370223999
20,5,PCNNLarge,5,25,0.0,1.5927919149398804
20,5,PCNNLarge,5,25,0.01,1.5925655364990234
20,5,PCNNLarge,5,25,0.1,2.5446724891662598
20,5,PCNNLarge,5,100,0.0,1.6001341342926025
20,5,PCNNLarge,5,100,0.01,1.5882792472839355
20,5,PCNNLarge,5,100,0.1,2.315675735473633
20,5,PCNNLarge,6,5,0.0,1.6350277662277222
20,5,PCNNLarge,6,5,0.01,1.6982604265213013
20,5,PCNNLarge,6,5,0.1,4.181859493255615
20,5,PCNNLarge,6,25,0.0,1.5969488620758057
20,5,PCNNLarge,6,25,0.01,1.597920536994934
20,5,PCNNLarge,6,25,0.1,4.450462818145752
20,5,PCNNLarge,6,100,0.0,1.6084061861038208
20,5,PCNNLarge,6,100,0.01,1.6082401275634766
20,5,PCNNLarge,6,100,0.1,2.3276174068450928
20,10,FCNNSmall,3,5,0.0,3.4492111206054688
20,10,FCNNSmall,3,5,0.01,2.5911853313446045
20,10,FCNNSmall,3,5,0.1,3.541714668273926
20,10,FCNNSmall,3,25,0.0,2.383845090866089
20,10,FCNNSmall,3,25,0.01,2.364551067352295
20,10,FCNNSmall,3,25,0.1,2.3684918880462646
20,10,FCNNSmall,3,100,0.0,2.355576753616333
20,10,FCNNSmall,3,100,0.01,2.3431129455566406
20,10,FCNNSmall,3,100,0.1,2.2853028774261475
20,10,FCNNSmall,4,5,0.0,3.4522104263305664
20,10,FCNNSmall,4,5,0.01,2.7308478355407715
20,10,FCNNSmall,4,5,0.1,4.730442523956299
20,10,FCNNSmall,4,25,0.0,2.2939977645874023
20,10,FCNNSmall,4,25,0.01,2.2947912216186523
20,10,FCNNSmall,4,25,0.1,3.1148102283477783
20,10,FCNNSmall,4,100,0.0,2.249211311340332
20,10,FCNNSmall,4,100,0.01,2.266453266143799
20,10,FCNNSmall,4,100,0.1,2.6766695976257324
20,10,FCNNSmall,5,5,0.0,2.540728807449341
20,10,FCNNSmall,5,5,0.01,2.404279947280884
20,10,FCNNSmall,5,5,0.1,4.5224714279174805
20,10,FCNNSmall,5,25,0.0,2.2733571529388428
20,10,FCNNSmall,5,25,0.01,2.313042640686035
20,10,FCNNSmall,5,25,0.1,3.823967456817627
20,10,FCNNSmall,5,100,0.0,2.2464842796325684
20,10,FCNNSmall,5,100,0.01,2.247060775756836
20,10,FCNNSmall,5,100,0.1,4.010300159454346
20,10,FCNNSmall,6,5,0.0,2.5267372131347656
20,10,FCNNSmall,6,5,0.01,2.411409616470337
20,10,FCNNSmall,6,5,0.1,5.633196830749512
20,10,FCNNSmall,6,25,0.0,2.267644166946411
20,10,FCNNSmall,6,25,0.01,2.308070659637451
20,10,FCNNSmall,6,25,0.1,6.772731304168701
20,10,FCNNSmall,6,100,0.0,2.2601728439331055
20,10,FCNNSmall,6,100,0.01,2.25996994972229
20,10,FCNNSmall,6,100,0.1,4.711587905883789
20,10,PCNNSmall,3,5,0.0,2.368511438369751
20,10,PCNNSmall,3,5,0.01,2.3584656715393066
20,10,PCNNSmall,3,5,0.1,2.9112303256988525
20,10,PCNNSmall,3,25,0.0,2.351280927658081
20,10,PCNNSmall,3,25,0.01,2.3089568614959717
20,10,PCNNSmall,3,25,0.1,2.3752899169921875
20,10,PCNNSmall,3,100,0.0,2.330402135848999
20,10,PCNNSmall,3,100,0.01,2.3149619102478027
20,10,PCNNSmall,3,100,0.1,2.2727363109588623
20,10,PCNNSmall,4,5,0.0,2.364074468612671
20,10,PCNNSmall,4,5,0.01,2.360018014907837
20,10,PCNNSmall,4,5,0.1,3.389000415802002
20,10,PCNNSmall,4,25,0.0,2.2463746070861816
20,10,PCNNSmall,4,25,0.01,2.225184679031372
20,10,PCNNSmall,4,25,0.1,2.4840378761291504
